actions,PIMS ID,Product,Suppliers,Inventory Tags,Manufacturer,Buying Unit,Selling Unit,Buying Cost,Fixed Price,Non Billable,Markup,Selling Price,Dispensing Fee,Location,Priority,QOH Min,QOH Max
,NONBILL043,Check Tracheostomy Tube / Maintenance,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL140,Check Vent Tubing/Filters/Humidifier,,,,Each,Each,,no,yes,0.00%,,0,,,,
,SA665,CHEM25,,,,Each,Each,31.93,no,no,,71.84,0,,,,
,CHEMHAZ,Chemotherapy Hazardous Disposal,,,,Each,Each,0.0,no,no,,26.75,0,,,,
,VITALS404,Chest Tube - Lavage (mL) (left side),,NOT FOR TRACKING,,Milliliter,Milliliter,0.0,no,yes,0.00%,,0,,,,
,VITALS404b,Chest Tube - Lavage (mL) (right side),,NOT FOR TRACKING,,Milliliter,Milliliter,0.0,no,yes,0.00%,,0,,,,
,CHT,Chest Tube Placement Procedure,,,,Each,Each,0.0,no,no,,45.0,0,,,,
,CHEWRX,Chewy Online Prescription,,,,Each,Each,0.0,no,no,,5.0,0,,,,
,ICS4A,Chlorhexidine 4% Scrub w/ Aloe,,,,Each,Each,37.23,no,no,,0.0,0,,,,
,ICHSG,Chlorhexidine Solution 2% Gallon,,,,Each,Each,7.95,no,no,,16.65,0,,,,
,CHOLE,Cholecystectomy,,,,Each,Each,0.0,no,no,,400.0,0,,,,
,501A,Ciliary Body - Chemical Ablation per Eye,,,,Each,Each,0.0,no,no,,180.0,0,,,,
,CRER,Clean & Restock Exam Rooms,,,,Each,Each,,no,yes,0.00%,,0,,,,
,IBREATH,Clean Air (Soda Sorb) Canister,,,,Each,Each,6.18,no,no,,0.0,0,,,,
,CAET,Clean All Exam Tables,,,,Each,Each,,no,yes,0.00%,,0,,,,
,CBS,Clean Baby Scales,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL044,Clean Cage / Run,,,,Each,Each,,no,yes,0.00%,,0,,,,
,ICLNCAT,Clean Catch Urine Containers,,,,Each,Each,0.43,no,no,,2.1,0,,,,
,NONBILL192,Clean E-tube with Chlorhexidine,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL141,Clean Ears (no charge),,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL045,Clean Face / Nose / Eye Area,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL142,Clean Hind End,,,,Each,Each,,no,yes,0.00%,,0,,,,
,CSSM,Clean Scale/Scale Mat,,,,Each,Each,,no,yes,0.00%,,0,,,,
,CSR,Clean Surgery/Restock,,,,Each,Each,,no,yes,0.00%,,0,,,,
,CWT,Clean Wet Table,,,,Each,Each,,no,yes,0.00%,,0,,,,
,CWCB,Clean/Wash Clippers & Blades,,,,Each,Each,,no,yes,0.00%,,0,,,,
,CLEV0.3,Clevor Opth. Sol. 30mg/ml 0.3ml Dropper,,,,Each,Each,25.1,no,no,,50.19,0,,,,
,IFOLDER,Client Folder (e-t folder),,,,Each,Each,19.19,no,no,,0.0,0,,,,
,ICK,Clindoral Kit Box,,,,Each,Each,38.45,no,no,,78.22,0,,,,
,CLINT,Clindoral Treatment,,,,Each,Each,0.0,no,no,,48.0,0,,,,
,CFR,Clip Feet / Routine,,,,Each,Each,10.0,no,no,,19.5,0,,,,
,CMC,Clip Matts / Complicated,,,,Each,Each,0.0,no,no,,53.0,0,,,,
,CMR,Clip Matts / Routine,,,,Each,Each,0.0,no,no,,28.0,0,,,,
,ICA5,Clipper A5 Gold,,,,Each,Each,134.94,no,no,,0.0,0,,,,
,ICLBP,Clipper Battery Pack,,,,Each,Each,50.3,no,no,,0.0,0,,,,
,IS130,Clipper blade #10,,,,Each,Each,28.27,no,no,,0.0,0,,,,
,IS131,Clipper blade #40,,,,Each,Each,28.02,no,no,,0.0,0,,,,
,ICBS,Clipper Blade Service,,,,Each,Each,5.75,no,no,,0.0,0,,,,
,IBLADEWS,Clipper Blade Wash,,,,Each,Each,5.94,no,no,,0.0,0,,,,
,ICVCL,Clipper Volt Cordless Lithium,,,,Each,Each,292.55,no,no,,0.0,0,,,,
,ICAGR,Clipper-Andis Super AGR,,,,Each,Each,223.95,no,no,,0.0,0,,,,
,ICBC,Clorox Bowl Cleaner,,,,Each,Each,3.42,no,no,,3.59,0,,,,
,ICST,Cloth Surgery Towels,,,,Each,Each,4.74,no,no,,0.0,0,,,,
,CFFS,Clothesline Fresh Fabric Spray,,,,Each,Each,4.0,no,no,,10.5,0,,,,
,NONBILL047,Cold Compress (Ice),,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL211,Collect 1hr Post-sample,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL212,Collect 2hr Post-sample,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL213,Collect 4hr Post-sample,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL214,Collect 8hr Post-sample,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL209,Collect Fecal Sample,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL210,Collect Free Catch Urine Sample,,,,Each,Each,,no,yes,0.00%,,0,,,,
,CHCOP,Colorado - Histopath w/ Copper Quan.,,,,Each,Each,84.0,no,no,,189.0,0,,,,
,VITALS25,Comfort / Pain Check (Pain Score),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,125,Communal Cremation/Burial Svc <125lb,,,,Each,Each,29.0,no,no,,78.0,0,,,,
,CCBS>125,Communal Cremation/Burial Svc >125lb,,,,Each,Each,128.75,no,no,,52.94,0,,,,
,ICDM,Complete Dustmop,,,,Each,Each,23.87,no,no,,0.0,0,,,,
,IF100,Computer paper-db/sheet,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,IF101,Computer paper-sgl 2550sh/bx,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,IF102,Computer paper-sgl 3500sh/bx,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,IF109,Computer printer ribbon,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,NONBILL048,Confirm Multilumen Ports are Labeled,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL177,Confirm patient is clean and IVC/bandages/dressings removed,,,,Each,Each,,no,yes,0.00%,,0,,,,
,CONSS,Conical Sharpening Stone,,,,Each,Each,39.45,no,no,,0.0,0,,,,
,ACON,Consil Application,,,,Each,Each,0.0,no,no,,48.0,0,,,,
,ICBP,Consil Bioglass Putty,,,,Each,Each,204.99,no,no,,0.0,0,,,,
,198,Consultation without Exam,,,,Each,Each,0.0,no,no,,89.0,0,,,,
,INJFEE,Controlled  Substance Fee,,,,Each,Each,0.0,no,no,,7.25,0,,,,
,ICON10,Convenia ( Cefovecin ) 80mg/ml INJ,,,,Milliliter,Milliliter,45.74,no,no,,45.74,44.5,,,,
,CSJST,Coplin Staining Jar w/ Screw Top,,,,Each,Each,8.57,no,no,,0.0,0,,,,
,CLHSP,Cornell AHDC Liver Histopat/Stain Panel,,,,Each,Each,105.0,no,no,,236.25,0,,,,
,ICORT,Cosyntropin ( Cortrosyn ) 0.25mg/ml INJ,,,,Each,Each,0.0,no,no,,85.6,44.5,,,,
,NONBILL-ICORT,Cosyntropin ( Cortrosyn ) 0.25mg/ml INJ,,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,COSYP13,"Cosypad Size 1 13"" x 20""",,,,Each,Each,67.91,no,no,,0.0,0,,,,
,IH175,Cotton applicator sticks 100CT,,,,Each,Each,0.47,no,no,,0.0,0,,,,
,IH141,Cotton balls 2bgs/1cs,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,IRC,Cotton roll (Lakeside),,,,Each,Each,4.21,no,no,,0.0,0,,,,
,CTAS6,"Cotton Tip Applicators Sterile 6"" 200ct",,,,Each,Each,7.32,no,no,,0.0,0,,,,
,CTA1000,"Cotton Tipped Applicators 6"" 1000ct",,,,Each,Each,5.74,no,no,,0.0,0,,,,
,LCASS,County tag / shelter,,,,Each,Each,0.0,no,no,,1.0,0,,,,
,LCAS,County Tags,,,,Each,Each,0.0,no,no,,5.0,0,,,,
,ICREDIT,Credit card paper thermal,,,,Each,Each,13.49,no,no,,0.0,0,,,,
,VITALS156,CRI - Bolus,,NOT FOR TRACKING,,Milliliter,Milliliter,0.0,no,yes,0.00%,,0,,,,
,VITALS158,CRI - Buprenorphine (mg/kg/hr),,NOT FOR TRACKING,,Milligram per Kilogram per Hour,Milligram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
