PIMS ID,Product,Suppliers
146,Eye - Corneal Staining,
544,Eye - Entropion Repair ea,
545,Eye - Enucleation,
EIOP,Eye - IOP Measurement (Record Vitals),
541,Eye - Tack Lids Each Pup,
EYETARSO,Eye - Tarsorrhaphy,
547,Eye-Removal 3rd Eyelid Gland,
ECH,Eye/ Cauterize hair,
EFTD,Eye/Flush tear ducts,
VITALS607,FAS Score (Canine),
VITALS606,FAS Score (Feline),
VITALS43,FAST Scan,
FRRPA,Fax/Online Refill Req (each additional),
FRRC,Fax/Online Refill Req Charge,
230,Fecal - Courtesy,
50100,Fecal (delayed) (IRL 50100),
VITALS09,Fecal Scoring,
FS,Fecal Stain,
FECTRANS,Fecal Transplant,
FEDEXPU,Federal Express Pick-Up Fee,
FEDEX,FEDEX Overnight,
VITALS27,Feeding Tube - Aspirate/Maintain/Note Production,
VITALS28,Feeding Tube - Feed and Note,
FDTB,Feeding Tube Placement,
IL296799,Feline Comp Well w/ BNP (IRL 29679999),
86027,Feline Comp Well w/ Fecal (IRL 28479999),
FEPPT,Feline Enteropathogen Panel to Texas,
VITALS400,Feline Grimace Scale (FGS),
85425,Feline Jr. Wellnes Profile,
VAX015,Feline Leukemia (FeLV) Vaccine,
FVRA,Feline RCP Purevax  Annual,
RXREQUEST,Fill All Approved RX Requests,
FNA,Fine Needle Aspirate,
FIVPCR,FIV RealPCR Test add-on,
VAX016,FIV Vaccine,
350,Fluid Therapy - I.V.,
351,Fluid Therapy - SUBCUTANEOUS,
IVFA,Fluid Therapy IV Additional,
FLU,Fluoride Treatment,
NONBILL180,Flush E-tube with Water,
NONBILL062,Flush IV Catheter,
NONBILL063,Flush Urinary Catheter,
450.55,Fracture Repair - IM Pinning,
549,Fracture Repair- K-E Apparatus,
551,Fracture Repair-Mandibular Sym,
INTERCEP,Free Interceptor from Elanco for Employe,
VITALS120,Free Style Libre Glucose,
FRONT12,Frontline GOLD 6ct $12 Instant Rebate,
T4SH,"FT4, cTSH (Thyroid Profile 6) (IRL 852)",
DXRAYC,Full Mouth Dental X-Rays ( Cat ),
DXRAY,Full Mouth Dental X-Rays ( Dog 0-50lbs),
DXRAYL,Full Mouth Dental X-Rays ( Dog 50+lbs),
FME,Full Mouth Extraction Feline,
FVR1,Fvrc-P 1#,
FVR2,Fvrc-P 2#,
FVR3,Fvrc-P 3#,
FVRCCP/Rabies Combo,FVRCCP/Rabies Combo,
GPEXY,Gastropexy,
554,Gastrotomy,
NONBILL143,Geiger Measurement,
TEXGI,GI Panel to Texas A&M,
DEGHX,Gingivectomy ( Hyperplasia ) Full Mouth,
DEHP,Hard Palate Correction,
HBTO90,Hay Blends Timothy + Orchard 90 oz,
141,Health Certificate - Domestic,
HCL,Health Certificate - For Sale,
141I,Health Certificate - International,
HGNG1,Heartgard 12+12 Nexgard $40 Rebate,
HGNG2,Heartgard 12+6 Nexgard $30 Rebate,
HG15,Heartgard 12ct $15 Instant Rebate,
PULSE4,Heartgard 6+6 Nexgard $20 Rebate,
HGNG20,Heartgard Plus 6+6 NexGard $20 Rebate,
NONBILL190,Heat Lamp On / Off,
HERABD,Hernia - Abdominal,
556,Hernia-Diaphragmatic,
557,Hernia-Inguinal,
558,Hernia-Perineal,
559,Hernia-Umbilical,
8619,Hills K9 I/D 17.6# Bag,
1862,Hills K9 I/D LowFat 17.6# Bag,
4013,Hills K9 T/D 5# Bag,
AHB,Home Burial,
HD,Hospital Dismissal,
400,Hospitalization - Day,
352,Hospitalization 1-15 lbs,
353,Hospitalization 15 -30 lbs,
354,Hospitalization 30-60 lbs,
355,Hospitalization over 60lbs,
560,Hygroma-Elbow,
IF103,ID bands large,
IF104,ID bands small,
1766,Idexx Bladder Tumor Analyte (Canine),
CANBNP,Idexx Canine Pro BNP (Add - On),
I405,Idexx Fungal Culture,
9523I,Idexx General Senior Profile,
4035,Idexx Urine Culture and MIC Sus.,
IH-IHUM10,IH Humulin-N Insulin U-100 10ml,
IMMUNOTXINJ,Immunotherapy Injection Vials Initial TX (Set of 2),
IMPPP,Imprimed K9 Personalized Pred. Profile,
IHAT4,In House Abaxis T4 / Cholesterol,
AVCWP,In House Abx Canine Wellness plus HW,
CBC,In House Abx CBC,
AVCDP,In House Abx Comp Diagnostic Profile,
AVCCP,In House Abx Critical Care Plus,
LYTES,In House Abx Electrolyte Plus,
AVKPP,In House Abx Kidney Profile Plus,
AVMLP,In House Abx Mammalian Liver Profile,
PHENOBAR,In House Abx Phenobarbital Chem Profile,
AVPPII,In House Abx Prep Profile II,
AVTC,In House Abx T4/Cholesterol,
CYTI,In House Cytology,
DTM,In House Dermatophyte culture,
IHDBS,In House Direct Blood Smear,
228,In House Ear swab / cytology,
FECD,In House Fecal Direct,
229,In House Fecal Float,
229A,In House Fecal Float & Direct,
FIVFELS,In House FIV/FeLV Combo Test,
F4RT,In House Flex 4 Rapid Test,
GLUC,In House Glucometer Test (Glucometer) (Record Vital),
250B,In House Heartworm occult-stat,
IHHC,In House Heska Cortisol,
HCRP,In House Heska K9 C-Reactive Pro. (CCRP),
HNUQ,In House Heska Nu.Q Cancer Screening,
IHIADD,In house Imagyst Add on expert review,
IHIBS,In house Imagyst Blood Smear,
IHICYT,In house Imagyst Cytology,
IHICYTUR,In house Imagyst Cytology - Urgent,
IHIDERM,In house Imagyst Dermatology,
IHIFG,In House Imagyst Fecal Giardia,
IHIFO,In House Imagyst Fecal Ova/Oocysts,
IHMAS,In House Imagyst Masses,
IHIURIN,In House Imagyst Urinalysis,
IHSS,In House Impression Smear,
KST,In House Ketone Strip Test (Record Vital),
IHLT,In House Lactate Test (Record Vital),
PST,In House Parvo Test / Canine,
PCVTP,In House PCV & Total Protein (Record Vital),
98,In House Pre-Anesthetic CBC/Prep Profile,
IHPTPTT,In House PT/PTT Combo Test,
231,In House Skin Scrape/Tape/Ear Cytology,
233,In House Skin scraping,
STP,In House Skin Tape Prep,
INSNBNP,In House SNAP Feline Pro BNP,
TRICH,In House Trichogram,
IHTSH,In House TSH Test,
252,In House Urinalysis,
IHUS1,In House Urine Sediment,
IHUSG,In House Urine Specific Gravity (USG) (Record Vital),
IHUS,In House Urine Strip,
PTTPTIH,InCoag aPTT/PT CWB Test Kit,
VOM,Induce Emesis,
INJCYTOP,Inj - Cytopoint Administration,
INJMF,Injectable Medication Adm. Fee,
VITALS112,Insulin - Ask Dr. (Note Type),
ILGF,Insulin LIke Growth Factor (MSU VDL),
ICU,Intensive / Critical Care,
561,Intestinal Anastamosis - $12/min,
VITALS111,Intraocular Pressure (IOP) - OD,
VITALS110,Intraocular Pressure (IOP) - OS,
VITALS10,Ionized Calcium (iCa),
NONBILL066,Issue Call Back,
NONBILL067,Issue Discharge Appointment,
126F,IV Catheter / Fluids with Surgery,
VITALS54,IV Fluid Bolus,
VITALS48,IV Fluids - 0.45% NaCl,
VITALS49,IV Fluids - 0.45% NaCl + 5% Dextrose,
VITALS47,IV Fluids - 0.9% NaCl,
VITALS51,IV Fluids - D5W,
VITALS52,IV Fluids - Hetastarch/Vetstarch,
VITALS50,IV Fluids - Hypertonic Saline,
VITALS44,IV Fluids - LRS,
VITALS45,IV Fluids - Normosol R,
VITALS53,IV Fluids - Other,
VITALS46,IV Fluids - Plasmalyte,
126S,IV Set / Surgery,
VITALS276,IVF Additive - Dextrose (%),
VITALS279,IVF Additive - Metoclopramide (mL/L),
VITALS280,IVF Additive - Other,
VITALS283,IVF Additive - Phosphorus (KPhos) (mmol/L),
VITALS290,IVF Additive - Potassium (KCl) (mEq/L),
VITALS294,IVF Additive - Vitamin B Complex (mL/L),
VITALS374,IVF Additive - Vitamin B-12 (mL/L),
EKG,IVS - ECG (Next Day Routine),
IVSECGS,IVS - ECG (STAT 1hr),
IVSECGRN,IVS - ECG w/ Radiographs (Next Day Rout),
IVSECGRS,IVS - ECG w/ Radiographs (STAT 1hr),
JOINT,Joint Tap,
NONBILL068,Keep Bedding Clean,
NONBILL069,Keep Cage Padded,
NONBILL070,Keep Head Elevated,
NONBILL071,Keep Quiet / Minimize Stress,
NONBILL072,Keep Sternal,
714,Kennel Care - Day Stay,
564,Knee Surgery - Cruciate Repair,
563,Knee Surgery-Corrective,
NONBILL169,Label Patient (Apply Neck Band),
ILABSHIP,Laboratory sample shipping and handling,
565,Laceration-Major,
566,Laceration-Minor,
VITALS40,Lactate,
LPS,Lactate Plus Strips,
LAPBIO,Laparotomy / Biopsy - Prostate,
LARE,Laryngeal Paralysis Assessment,
LASERA,Laser Treatment - Acute (3+),
LASERADD,Laser Treatment - Add. Treatment,
LASERC,Laser Treatment - Chronic (7+),
LASERPS,Laser Treatment - Post Surgery Incision,
LASER1,Laser Treatment - Single,
LIAS,Lat. Imbrication/Antirotational Suture,
538,Lateral Ear Resection - Bilateral,
539,Lateral Ear Resection - Unilateral,
VITALS26a,Left Chest Tube (Air) - Aspirate/Maintain/Note Production,
VITALS26b,Left Chest Tube (Fluid) - Aspirate/Maintain/Note Production,
VAX019,Leptospirosis (4 serovar) Vaccine,
IH-LIDTO50,Lidocaine Topical Ointment 5% (50 gm) - (IH Only),
LFR,Lip Fold Resection,
LIVERLOBECT,Liver Lobectomy,
LHB,Long Hair Add-On,
NONBILL073,Lube Eyes,
567,Luxation Reduction-Closed,
568,Luxation Reduction-Open,
VAX020,Lyme Vaccine,
MAINT,"Maintance for Ward Equipmt.,Instrmts.,et",
NONBILL128,Make New Insulin CRI (q24hrs),
MFR,Mandibular Fracture Repair,
569,Mastectomy - Lumpectomy,
570,Mastectomy - Partial,
571,Mastectomy - Radical,
NONBILL075,Measure Abdominal Girth,
VITALS402,Measure Urinary Bladder (cm),
NONBILL166,Mechanical Ventilator Therapy,
MPS,Medical Pet Shirt,
BOV,Medical Progress Exam,
MED,Medication Administration in Hospital,
MEDCS,Medication Cutting Service,
EPEND,Memorial Pendant,
MENCEC,Meniscectomy,
IMICHT4,Michigan State Premium Thyroid Panel,
MDAI,Microchip Implantation (w/ Registration),
MCR,Microchip ResQ,
MSCTX,Misc Treatment,
VITALS19,Modified Glasgow Coma Scale (/18),
VITALS602,Modified Glasgow Composite Measure Pain Score (Canine) (/24),
VITALS601,Modified Glasgow Composite Measure Pain Score (Feline) (/20),
NONBILL087,Monitor for Any Reactions,
VITALS75,Monitor Level of Sedation,
NONBILL088,Monitor Transfusion,
NONBILL150,Move Patient to Ward,
MPSHC,MPS Head Cover/Bonnett,
MSU95066,MSU - Lepto Micro. Agglutination Expand.,
20001,MSU 25-Hydroxyvitamin Dx,
20030,MSU Malignancy Profile,
MCTPPH,MSU MCT Prognostic Panel w/ Histopath,
VITALS07,Mucous Membranes,
VITALS20b,Muscle Condition Score (/4),
MBLASTO,MVista Blastomyces Antigen Quan.,
NGPC45,N.G. PLUS/N.G. COMBO 6ct $45 Instant Reb,
573,Nasal Fold Excision,
NOCP,Nasal Oxygen Catheter Placement,
574,Nasolacrimal Flush,
NCBP,NCSU Bartonella PCR,
NCSUAGT,NCSU Boxer ARVC1 & ARVC2 Combo Gen. Test,
NCCBS,NCSU Canine Bartonella Serology,
NCSUDCM,NCSU Doberman DCM Genetic Test,
NCSUVBD,NCSU Vector Borne Disease Comp Panel,
NEB,Nebulization,
NONBILL089,Nebulization - q6 (No Charge),
NONBILL090,Nebulization and Coupage,
NECBADDL,Necropsy to BADDL in Kissimmee,
575,Nephrectomy,
NERVBLK,Nerve Block ( Marcaine / Lidocaine Inj),
NG20,Nexgard 12ct $20 Instant Rebate,
NG35,Nexgard 12ct $35 Instant Rebate,
NG45,Nexgard 12ct $45 Instant Rebate,
NG10,Nexgard 6ct $10 Instant Rebate,
NG15,Nexgard 6ct $15 Instant Rebate,
NGC45,NexGard COMBO 12ct $45 Instant Rebate,
NGC50,NexGard COMBO 12ct $50 Instant Rebate,
NGC20,NexGard COMBO 6ct $20 Instant Rebate,
NGC10,NexGard COMBO Kitten 3ct $10 Rebate,
NGP105,NexGard Plus 12ct $105 Instant Rebate,
NGP65,NexGard PLUS 12ct $65 Instant Rebate,
NGP25,NexGard PLUS 6ct $25 Instant Rebate,
NGP35,NexGard PLUS 6ct $35 Instant Rebate,
NGP10,NexGard PLUS Puppy <1yr 3ct $10 Rebate,
NGHGB,Nexgard/Heartgard Brand Offer,
NGPC55,NG Plus 6+6 NG Combo $55 Instant Rebate,
VITALS28c,NG Tube - Aspirate (mLs),
NONBILL074,Note / Measure Discharge,
NONBILL092,Note any Syncope,
NONBILL186,Note Casts,
NONBILL080,Note Coughing / Sneezing,
VITALS13,Note Defecation,
NONBILL082,Note Epistaxis or Oral Bleeding,
NONBILL083,"Note Excessive Licking, Chewing, Scratching",
NONBILL084,"Note Gait, Limping",
VITALS11,Note Mentation/Attitude,
NONBILL085,Note Petechiae / Ecchymoses / Bruising,
NONBILL097,Note Quality of Discharge / Fluid,
VITALS18,Note Seizures,
NONBILL086,Note Swelling / Edema,
VITALS12,Note Urination / Straining,
VITALS14,Note Vomiting/Regurgitation,
NONBILL099,Notify Doctor to Assess Hydration/IVF Order,
NONBILL100,NPO,
NONBILL182,NPO (water allowed),
153,Obstetrical Assistance,
OFAF,OFA Fee,
OMEAR,OM - Ears,
OMMEDS1,OM - MEDICATION 1,
OMMEDS2,OM - Medication 2,
OMFRIDGE,OM - Refrigerated MEDS,
OMSUPP,OM - Supplements 1,
OM-IACE25,OM Acepromazine 25mg TAB,
OM-AMBENZ,OM Acne Med. Benzoyl Per. Gel 5% 1.5oz,
OM-ACY400,OM Acyclovir 400mg TAB,
OM-IAOS1,OM Albon Oral Suspension 5% 473ml Bottle,
OM-IAL144,OM Albon Oral Suspension 5% 60ml bottle,
OM-AHGP,OM Aluminum Hydroxide Gel Powder 40 Dram,
OM-AMAN50,OM Amantadine Oral Solution 50mg/5ml (10mg/mL),
OM-AMP2.5,OM Amlodipine 2.5 mg TAB,
OM-AML5,OM Amlodipine 5mg TAB,
OM-IAMOX3,OM Amoxi Drops 30ml (50mg/mL),
OM-IAMOD1,OM Amoxi-drops 15ml (50mg/mL),
OM-IAMO25,OM Amoxicillin 250mg CAP,
OM-AMOX500,OM Amoxicillin 500mg CAP,
OM-AMOXCB15,OM Amoxicillin/Clav. ( Betacillin ) 15 ml (62.5mg/mL),
OM-AMOCL125,OM Amoxicillin/Clavulanate 125mg TAB,
OM-AMOCL375,OM Amoxicillin/Clavulanate 375mg TAB,
OM-ANIMAX15,OM Animax Ointment 15 ml,
OM-ANIM30,OM Animax Ointment 30 ml,
OM-APOQT16,OM Apoquel 16mg TAB,
OM-APOQT3.6,OM Apoquel 3.6mg TAB,
OM-APOQT5.4,OM Apoquel 5.4mg TAB,
OM-IAT,OM Artificial Tears 3.5g,
OM-IAT50,OM Atopica (Cycloporine) 50mg CAP,
OM-IATP100,OM Atopica (Cyclosporine) 100 mg CAP,
OM-CYCLO25,OM Atopica (Cyclosporine) 25mg CAP,
OM-IATC17,OM Atopica/Cats 100mg/ml 17ml Vial,
OM-IATC5,OM Atopica/Cats 100mg/ml 5ml Vial,
OM-ATOPIM,OM Atopivet Mousse 8.4 oz Bottle,
OM-ATOPT,OM Atopivet Spot On Topical ( 8 Pipettes ),
OM-ATROINT,OM Atropine Eye Ointment 1% 3.5gm,
OM-IATROP,OM Atropine Sulfate 1% Solution (opht.),
OM-AVMAQ45,OM Avmaquin 45ct Bottle,
OM-AYRADIA3,OM Ayradia 125mg/ml Susp 30ml Bottle,
OM-AYRADIA1,OM Ayradia 125mg/ml Susp. 100 ml Bottle,
OM-AZITH250,OM Azithromycin 250mg TAB 30ct.,
OM-AZITHR,OM Azithromycin Susp 200mg/5 ml (40mg/mL) (30cc),
OM-ASCPS90,OM Azodyl Small CAP (Kidney Supplement),
OMBENT,OM Benazepril 5mg Tab,
OM-BLADDSUP,OM Bladder Support Soft Chews 60 count,
OM-BST60,OM Bladder Support Tablets 60ct,
OM-B0180C2,OM Bone Stasis 200 0.5g CAP,
OM-BRESF200,OM Breast Stasis Formula 0.5g 200ct CAP,
OM-BUP0.5,OM Buprenorphine 0.5mg/ml ORAL,
OM-ICAPL,OM Capstar / Single Dose / Large,
OM-ICAPS,OM Capstar/ Single Dose / Small,
OM-IRIM10,OM Carprofen (Rimadyl) 100mg TAB,
OM-IRIM25,OM Carprofen (Rimadyl) 25mg TAB,
OM-IRIM75,OM Carprofen (Rimadyl) 75mg TAB,
OM-CATLAX2,OM Cat Lax 2 oz Tube,
OM-ICP100,OM Cefpodoxime 100mg TAB (Antibiotic),
OM-ICEP200,OM Cefpodoxime 200mg TAB (Antibiotic),
OM-CENTLA,OM Centragard Large 5.6-16.5 lbs,
OM-CENTS,OM Centragard Small 1.8 - 5.5lbs,
OM-CF200T,OM Cervical Formula 200ct Teapill,
OM-ICHL4,OM Chlorpheniramine Maleate 4mg TAB,
OM-ICIP25,OM Ciprofloxacin 250mg TAB,
OM-ICIP50,OM Ciprofloxacin 500mg TAB,
OM-ICIPO,OM Ciprofloxacin Opth. Sol.,
OM-CISA10,OM Cisapride 10mg Gourmed Tab Chick.Flavor,
OM-ICLT100Q,OM Clindamycin 100mg Quad TAB,
OM-ICLT150,OM Clindamycin 150mg CAP,
OM-ICLT25,OM Clindamycin 25mg TAB,
OM-ICD20,OM Clindamycin 25mg/ml LIQ,
OM-ICLT75,OM Clindamycin 75mg CAP,
OM-CLOP75TA,OM Clopidogrel 75 mg TAB,
OM-COB12SUP,OM Cobalequin B12 Supp Cats/Small Dog <22lb,
OM-COB12SL,OM Cobalequin B12 Supp. Dogs >22lbs,
OM-MARO16,OM Comfortrate ( Maropitant ) 16mg TAB,
OM-COMF24,OM Comfortrate ( Maropitant ) 24 mg TAB,
OM-COMF60,OM Comfortrate ( Maropitant ) 60mg TAB,
OM-COMPBHC,OM Composure Behavioral Health 60ct. Chew,
OM-CBSF50,OM Conc. Breast Stasis Formula 50ct CAP,
OM-CCF100,OM Conc. Cervical Formula 100ct CAP,
OM-CDHS50,OM Conc. Damp Heat Skin 50ct CAP,
OM-CDGPS100,OM Conc. Di Gu Pi San 100ct CAP,
OM-CDTT100T,OM Conc. Di Tan Tang 100ct CAP,
OM-CDTT90P,OM Conc. Di Tan Tang Powder 90g,
OM-CHQW50,OM Conc. Hindquarter Weakness 50ct CAP,
OM-CHQWP90G,OM Conc. Hindquarter Weakness Powder 90g,
OM-CHW100,OM Conc. Hindquater Weakness 100ct CAP,
OM-CJSGJ100,OM Conc. Jin Suo Gu Jing 0.5mg 100ct CAP,
OM-MAXFORM,OM Conc. Max's Formula 0.5g 100ct CAP,
OM-CPFF100,OM Conc. Phlegm Fat Formula 100ct CAP,
OM-CSC90P,OM Conc. Shen Calmer Powder 90g,
OM-CSWXF100,OM Conc. Si Wu Xiao Feng 100 ct CAP,
OM-CSH50,OM Conc. Stomach Happy 50ct CAP,
OM-CSHP90,OM Conc. Stomach Happy Powder 90g,
OM-CTL100,OM Conc. Tendon/Ligament 100ct CAP,
OM-CTL90P,OM Conc. Tendon/Ligament Powder 90g,
OM-CXYS100C,OM Conc. Xin Yi San 0.5g 100ct CAP,
OM-CZXS90G,OM Conc. Zhen Xin San 90g Powder,
OM-CONCBS50,OM Concentrated Body Sore 50ct CAP,
OM-CBS90P,OM Concentrated Body Sore Powder 90g,
OM-CDGPS90G,OM Concentrated Di Gu Pi San Powder 90g,
OM-CONFOUR,OM Concentrated Four Gentleman 90g Powder,
OM-CHQT100,OM Concentrated Heart Qi Tonic 100ct CAP,
OM-CJGSQ90,OM Concentrated Jin Gui Shen Qi Powder 90g,
OM-CJSGJ90P,OM Concentrated Jin Suo Gu Jing Powder 90g,
OM-CLHAPP10,OM Concentrated Liver Happy 100ct CAP,
OM-CLH50CT,OM Concentrated Liver Happy 50ct CAP,
OM-CRFD100,OM Concentrated Red Front Door 100ct CAP,
OM-CRFD50,OM Concentrated Red Front Door 50ct CAP,
OM-CONR11,OM Concentrated Rehmannia 11 0.5g 100ct CAP,
OM-REHCON14,OM Concentrated Rehmannia 14 0.5g 100ct CAP,
OM-CSCC50,OM Concentrated Shen Calmer 50ct CAP,
OM-CONSTAS,OM Concentrated Stasis Breaker 100ct CAP,
OM-CONCSB,OM Concentrated Stasis Breaker Powder 90g,
OM-CWQB100,OM Concentrated Wei Qi Booster (100 ct CAP),
OM-CONXUE,OM Concentrated Xue Fu Zhe Yu (100ct),
OM-CYYXF100,OM Concentrated Yang Yin Xi Feng 100ct,
OM-COSCC,OM Cosequin for Cats Soft Chews 60ct,
OM-COUGHT,OM Cough Tablets,
OM-CREDC24,OM Credelio for Cats 2.0 - 4.0# Chew Single,
OM-CREDC417,OM Credelio for Cats 4.1 - 17.0# Chew Sing.,
OM-IDASAF,OM Dasuquin Advanced for Cats,
OM-DASCL,OM Dasuquin Advanced Soft Chew 64ct Large,
OM-IDASS,OM Dasuquin Advanced Soft Chew 64ct Sm/Med,
OM-DENCHADL,OM Denamarin Chew Advanced (Large),
OM-DENCHADV,OM Denamarin Chew Advanced (Small),
OM-DERCOX,OM Deracoxib (Coxiba) 100mg TAB,
OM-DERCOX25,OM Deracoxib (Coxiba) 25mg TAB,
OM-DERCOX75,OM Deracoxib (Coxiba) 75mg TAB,
OM-DGPS200G,OM Di Gu Pi San Powder 200g,
OM-DTT200P,OM Di Tan Tang Powder 200g,
OM-DTTT200,OM Di Tan Tang Teapill 200ct,
OM-IVAL5,OM Diazepam 5mg TAB ( Valium ),
OM-DOUBPIIC,OM Double P II 0.5g 200ct CAP,
OM-DPII100,OM Double P II 100ct CAP,
OM-DOUBPIIP,OM Double P II Powder 200g,
OM-DCP30,OM Douxo Chlorhexidine 3% PS Pads 30ct,
OM-DOXY100,OM Doxycycline 100 mg TAB,
OM-DOXY100S,OM Doxycycline 100mg/ml SUSP.,
OM-DOX150FT,OM Doxycycline 150mg Flex TAB,
OM-DOXY50,OM Doxycycline 50mg TAB,
OM-KCOTO,OM Ear - KC Oto Pack,
OM-OTOE,OM Ear - Oti-Pack,
OM-EASOTIC,OM Easotic ear Ointment 10ml,
OM-E2101-20,OM Eight Righteous 200g,
OM-ELURA15,OM Elura 20mg/ml Oral Susp. (15 ml Bottle),
OM-IENA10,OM Enalapril 10mg TAB,
OM-ENAL20T,OM Enalapril 20mg TAB,
OM-IENA5,OM Enalapril 5mg TAB,
OM-IBAY20,OM Enrofloxacin (Baytril ) 22.7mg TAB,
OM-IBAY60,OM Enrofloxacin (Baytril ) 68mg Taste TAB,
OM-IBAY13,OM Enrofloxacin (Baytril) 136mg TAB,
OM-ENT10BOT,OM Entyce App Stimulant 30mg/ml 10ml Bottle,
OM-IEPA180,OM Epakitin 180gm,
OM-IEPA3,OM Epakitin 300gm Bottle,
OM-IEPA60,OM Epakitin 60gm,
OM-IERYO,OM Erythromycin Oph Ointment,
OM-E2042T,OM External Wind 200 Teapill,
OM-ESD,OM Eye Serum Drops,
OM-IFAM10,OM Famotidine 10mg TAB,
OM-IFAM20,OM Famotidine 20mg TAB,
OM-I8001,OM Fan Xie Ye 200g,
OM-FELAN30,OM Felanorm (Methimazole) 5mg/ml 30ml Bot,
OM-IPANA,OM Fenbendazole ( Panacur ) 100mg/ml LIQ,
OM-FLADC60,OM Flexadin Advanced Chews 60ct,
OM-IPRZAC10,OM Fluoxetine 10mg TAB,
OM-IFLX20,OM Fluoxetine 20mg CAP,
OM-FLUO40C,OM Fluoxetine 40mg CAP,
OM-IFFB,OM Fortiflora - SA Feline / K9 Box,
OM-A3010T,OM Four Gentlemen 200 Teapill/Si,
OM-A2150,OM Four Immortals 200g,
OM-ILAS12,OM Furosemide (Lasix) 12.5 mg TAB,
OM-LAS20,OM Furosemide (Lasix) 20 mg TAB,
OM-ILAS50,OM Furosemide (Lasix) 50 mg TAB,
OM-IGAB100,OM Gabapentin 100mg CAP,
OM-GABAQTAB,OM Gabapentin 100mg Quad TAB,
OM-GAB25T,OM Gabapentin 25mg TAB,
OM-GABA300,OM Gabapentin 300mg CAP,
OM-GABA50MG,OM Gabapentin 50mg/ml Susp.,
OM-GABA600,OM Gabapentin 600mg CAP,
OM-GALL100,OM Galliprant 100 mg TAB,
OM-GALL20T,OM Galliprant 20mg TAB,
OM-IGAL60,OM Galliprant 60mg TAB,
OM-IGENO120,OM GenOne/Gentamicin K9 Topical Spray 120ml,
OM-IGENSL,OM GenOne/Gentamicin K9 Topical Spray 240ml,
OM-GENO60,OM GenOne/Gentamicin Topical Spray 60ml,
OM-IVETGLYC,OM Glyco Flex 2 Bite Chews Feline-Vetri-Sci,
OM-HQT200C,OM Heart Qi Tonic 200ct CAP,
OM-IHGPSS,OM Heartgard Plus 1 - 25# Single,
OM-IHGPMS,OM Heartgard Plus 26-50# Single,
OM-IHGPLS,OM Heartgard Plus 51-100# Single,
OM-HCBDD60,OM Hemp CBD Oil for Dogs 60ml,
OM-EVCBDLC,OM Hemp Mobility Chews Over 50lbs 62ct Bag,
OM-EVCBDSC,OM Hemp Mobility Chews Under 50lbs 62ct Bag,
OM-EVCBD15,OM Hemp Mobility OIl for Cats 15ml,
OM-HEMPMO15,OM Hemp Mobility Oil for Dogs 15ml,
OM-EVCBD20,OM Hemp Mobility Oil for Dogs 20ml,
OM-EVCBD30,OM Hemp Mobility Oil for Dogs 30ml,
OM-HOSGM,OM Hemp Oil Soft Gel Medium Dog,
OM-HOSGEL,OM Hemp Oil Soft Gels Extra Large Dog,
OM-HOSGLD,OM Hemp Oil Soft Gels for Large Dogs,
OM-HOSGSD,OM Hemp Oil Soft Gels for Small Dogs,
OM-HINDWEAK,OM Hindquarter Weakness 0.5g 200ct CAP,
OM-HQWN200T,OM Hindquarter Weakness 200ct Teapill,
OM-HINDQWP,OM Hindquarter Weakness Powder 200g,
OM-HYDROH,OM Hydrocodone 5mg/Homatropine 1.5mg/5ml (1mg/mL),
OM-HYCH1085,OM Hydrocodone/Chlorpheniramine 10&8mg/5ml (2mg/mL),
OM-IHYDX1,OM Hydroxyzine 10mg TAB,
OM-HYDXT25,OM Hydroxyzine 25mg TAB,
OM-HYDXT50,OM Hydroxyzine 50mg TAB,
OM-ILIDPU,OM I Lid n Lash 50ml,
OM-IID10,OM I-Drop Vet Plus Lubricating Drops 10ml,
OM-ICFTN,OM ICF Tris - NAC Ear Solution 120ml Bottle,
OM-INCURIN,OM Incurin 1mg 30ct TAB,
OM-A2111,OM Jin Suo Gu Jing - 900g,
OM-JSSGJ200,OM Jin Suo Gu Jing 200g,
OM-A2111-6,OM Jin Suo Gu Jing 600g,
OM-KBV250,OM K-BroVet 250mg Chewable TAB,
OM-IKEF50,OM Keflex ( Cephalexin ) 500mg CAP,
OM-IKEF25,OM Keflex (Cephalexin) 250mg CAP,
OM-IKET200,OM Ketoconazole 200 mg TAB,
OM-KOS0.5,OM Ketorolac 0.5% Opth. Solution,
OM-KRILCSC,OM Krillex Concentrate Soft Chews 60ct,
OM-ILACP,OM Lactulose 10g/15ml Oral Solution,
OM-LAV10,OM Laverdia 10mg TAB,
OM-LAV2.5,OM Laverdia 2.5mg TAB,
OM-LAV50,OM Laverdia 50mg TAB,
OM-THY0.3,OM Levothyroxine ( ThyroTab ) 0.3mg TAB,
OM-ISOL1,OM Levothyroxine ( ThyroVet ) 0.1mg TAB,
OM-ISOL2,OM Levothyroxine ( ThyroVet ) 0.2mg TAB,
OM-ISOL4,OM Levothyroxine ( ThyroVet ) 0.4mg TAB,
OM-ISOL5,OM Levothyroxine ( ThyroVet ) 0.5mg TAB,
OM-ISOL6,OM Levothyroxine ( ThyroVet ) 0.6mg TAB,
OM-ISOL7,OM Levothyroxine ( ThyroVet ) 0.7mg TAB,
OM-ISOL8,OM Levothyroxine ( ThyroVet ) 0.8mg TAB,
OM-LIVHAP2,OM Liver Happy Teapills (200ct) TAB,
OM-LOS100,OM Losartan 100mg TAB (90ct),
