PIMS ID,Product,Suppliers
CSJST,Coplin Staining Jar w/ Screw Top,MWI Veterinary Supply
ICORT,Cosyntropin ( Cortrosyn ) 0.25mg/ml INJ,"Butler Schein, Henry Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Taylors Pharmacy"
NONBILL-ICORT,Cosyntropin ( Cortrosyn ) 0.25mg/ml INJ,"Butler Schein, Henry Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Taylors Pharmacy"
COSYP13,"Cosypad Size 1 13"" x 20""",Patterson Veterinary Supply
IH175,Cotton applicator sticks 100CT,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IRC,Cotton roll (Lakeside),"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Veterinary Supply"
CTAS6,"Cotton Tip Applicators Sterile 6"" 200ct",MWI Veterinary Supply
CTA1000,"Cotton Tipped Applicators 6"" 1000ct",MWI Veterinary Supply
ICREDIT,Credit card paper thermal,Office Product Solutions
ICCTS,Critoseal Capiry Tube Seal,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
CCS100,Cruciate Crimp Clamp 100# Silver,MWI Veterinary Supply
CCC40S,Cruciate Crimp Clamp 40# Silver,MWI Veterinary Supply
CCC80S,Cruciate Crimp Clamp 80# Silver,MWI Veterinary Supply
CNH7,"Cruciate Needle Holder 7""",MWI Veterinary Supply
CRUNM6PK,Cruciate Needle Medium 6 Pk.,MWI Veterinary Supply
CRUNS6PK,Cruciate Needle Small 6 Pk.,MWI Veterinary Supply
CRNVP,Cruciate Repair Needles Variety Pack,MWI Veterinary Supply
CRYO16,Cryoprobe SZ 16,MWI Veterinary Supply
CRYO8,Cryoprobe SZ 8,MWI Veterinary Supply
CMER16,Cucumber/ Melon Ear Rinse 16 oz,Patterson Veterinary Supply
CYT100,Cytarabine 100mg/ml INJ,MWI Veterinary Supply
CYTO10,Cytopoint 10mg,Zoetis/Pfizer Inc
ICYTO20,Cytopoint 20mg,Zoetis/Pfizer Inc
ICYTO30,Cytopoint 30mg,Zoetis/Pfizer Inc
CYTO40,Cytopoint 40mg,Zoetis/Pfizer Inc
ID128,D-128 Germicidal Solution Vedco gallon,MWI Veterinary Supply
DDSSG,D-D-S Surfactant Gallon,"MWI Veterinary Supply, Patterson Veterinary Supply"
IDAM,Datamars Animal ID Microchip,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IDOR8,Dentahex Oral Rinse 8oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
DB37CP,Dental Bit 37 CP (Inverted Cone) 10 Pack,"Diatech Inc, Patterson Veterinary Supply"
CARBUR,Dental bit 558L 10 pack,Patterson Vet Webster
DENBUR6S,Dental Bit 6SU (Round Surgical) 10 pack,"Diatech Inc, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
BUR701L,Dental bit 701L 10 pack,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
DB8SU,Dental Bit 8SU (Round Surgical) 10 Pack,"Diatech Inc, Patterson Veterinary Supply"
DENCRL,Dental Bur Carbide Round Latch10Pk,"Diatech Inc, MWI Veterinary Supply"
DBCCTF,Dental Bur Crossc.Taper SL FG 701L 5 PK,Patterson Veterinary Supply
IDBCFT,Dental Bur Crosscut Fiss Taper 701L 10pk,"MWI Veterinary Supply, Patterson Veterinary Supply"
PROANG,Dental Prophy Angles (Disposable) 144ct.,MWI Veterinary Supply
DRB65CT,Dental Round Burs #6 ( 5 Count ),Patterson Veterinary Supply
IDEP,Depo-Medrol 20mg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply, Zoetis/Pfizer Inc"
DBGALL,DermaBenss Shampoo (Gallon),"MWI Veterinary Supply, Patterson Veterinary Supply"
DERBEN12,DermaBenSs Shampoo 12 oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
DEROAT12,Dermallay Oatmeal Shampoo 12oz,"MWI Veterinary Supply, Patterson Veterinary Supply"
DEROATGA,Dermallay Oatmeal Shampoo Gallon,MWI Veterinary Supply
IDER12,Dermatonin Implant 12 mg,MWI Veterinary Supply
IDERI,Dermatonin Implant 18.mg,MWI Veterinary Supply
IDERI8,Dermatonin Implant 8.0mg,MWI Veterinary Supply
IORG,Desk Organizer  8 section,Office Product Solutions
DCF26,"DesMarres Chalazion Forceps, 26mm 3.5""",MWI Veterinary Supply
I622,Dexamethasone 2mg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IDXSP,Dexamethasone SP 4mg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IDEX,Dexmedetomidine 500mcg/mL INJ,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply, Putney"
IDEX50,Dextrose 50% Solution INJ,"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Vet Webster"
I689,Diazepam 5mg/ml INJ (Valium),"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
DTSPP,"Digital Tray Scale, Pediactric, Portable",MWI Veterinary Supply
IDI,Diphenhydramine 50mg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IDIR50,Diroban 50mg/vial INJ (25mg/mL),"MWI Veterinary Supply, Patterson Veterinary Supply, Zoetis/Pfizer Inc"
DEC4MM,Disposable Ear Cones 4mm 50ct Box,Patterson Veterinary Supply
DEC5MM,Disposable Ear Cones 5mm 50ct Box,Patterson Veterinary Supply
IDFLS,Disposable Fecal Loops Small,Butler Schein
DIPIPVS2,Disposable Pipette Tips for VS2 (96ct),"Patterson Veterinary Supply, Zoetis/Pfizer Inc"
IDIVTAB,Divider Tabs (box 160),Patterson Office Supply
IDIV8,Dividers for Binders (8tab),Office Product Solutions
IDS3,Dose Syringe 3ml,"Butler Schein, Zoetis/Pfizer Inc"
IDS6,Dose syringe 6ml,"Butler Schein, MWI Veterinary Supply"
DL500,"Dosing Labels 1.5""x0.5"" (500ct)","MWI Veterinary Supply, Patterson Veterinary Supply"
DCTC412,Double Christmas Tree Connector 4-12mm,MWI Veterinary Supply
DCTC46,Double Christmas Tree Connector 4-6mm,MWI Veterinary Supply
