actions,PIMS ID,Product,Suppliers,Inventory Tags,Manufacturer,Buying Unit,Selling Unit,Buying Cost,Fixed Price,Non Billable,Markup,Selling Price,Dispensing Fee,Location,Priority,QOH Min,QOH Max
,AXVITALS178,AX - CRI - Dopamine (mcg/kg/min),,NOT FOR TRACKING,,Microgram per Kilogram per Minute,Microgram per Kilogram per Minute,0.0,no,yes,0.00%,,0,,,,
,AXVITALS191,AX - CRI - Fentanyl (mg/kg/hr),,NOT FOR TRACKING,,Milligram per Kilogram per Hour,Milligram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITALS375,AX - CRI - Fentanyl/Lidocaine/Ketamine (mg/kg/hr),,NOT FOR TRACKING,,Milligram per Kilogram per Hour,Milligram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITALS193,AX - CRI - Fentanyl/Lidocaine/Ketamine (mL/hr),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITALS376,AX - CRI - Hydromorphone/Lidocaine/Ketamine (mg/kg/hr),,NOT FOR TRACKING,,Milligram per Kilogram per Hour,Milligram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITALS296,AX - CRI - Hydromorphone/Lidocaine/Ketamine (mL/hr),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITALS213,AX - CRI - Lidocaine (mg/kg/hr),,NOT FOR TRACKING,,Milligram per Kilogram per Hour,Milligram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
,VITALS377,AX - CRI - Morphine/Lidocaine/Ketamine (mg/kg/hr),,NOT FOR TRACKING,,Milligram per Kilogram per Hour,Milligram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITALS244,AX - CRI - Morphine/Lidocaine/Ketamine (mL/hr),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL144,AX - IV Fluid Bolus,,NOT FOR TRACKING,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,AXVITAL145,AX - IV Fluids - 0.45% NaCl,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL146,AX - IV Fluids - 0.45% NaCl + 5% Dextrose,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL147,AX - IV Fluids - 0.9% NaCl,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL148,AX - IV Fluids - D5W,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL149,AX - IV Fluids - Hetastarch/Vetstarch,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL150,AX - IV Fluids - Hypertonic Saline,,NOT FOR TRACKING,,Milliliter,Milliliter,0.0,no,yes,0.00%,,0,,,,
,AXVITAL151,AX - IV Fluids - LRS,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL152,AX - IV Fluids - Normosol R,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL153,AX - IV Fluids - Other,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL154,AX - IV Fluids - Plasmalyte,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL176,AX - Transfusion - Albumin (Canine),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL177,AX - Transfusion - Albumin (Human),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL178,AX - Transfusion - Cryoprecipitate,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL179,AX - Transfusion - IVIG,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL180,AX - Transfusion - Other,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL181,AX - Transfusion - Plasma (Cryo-poor),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL182,AX - Transfusion - Plasma (FFP),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL183,AX - Transfusion - Plasma (FP),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL184,AX - Transfusion - pRBC,,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL185a,AX - Transfusion - Whole Blood (donor blood),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITAL185,AX - Transfusion - Whole Blood (stored blood),,NOT FOR TRACKING,,Milliliter per Hour,Milliliter per Hour,0.0,no,yes,0.00%,,0,,,,
