XLS ID,XLS Product,XLS Supplier,Stockroom ID,Stockroom Product,Supplier To Use
RX-IT8B,RX TrizEDTA 4oz + Baytril 12ml OTIC,"TMI, ISPI",RX-IT8B,RX TrizEDTA 4oz + Baytril 12ml OTIC,"TMI, ISPI"
RX-ITRIZ16,RX TRIZEDTA Flush 16oz Bottle,"TMI, ISPI",RX-ITRIZ16,RX TRIZEDTA Flush 16oz Bottle,"TMI, ISPI"
NONBILL161,Save Urine,"IDEXX, IAL, HSI",NONBILL161,Save Urine,"IDEXX, IAL, HSI"
ISS,Stain Urine Sediment  15 ml,"IDEXX, IAL, HSI",ISS,Stain Urine Sediment  15 ml,"IDEXX, IAL, HSI"
STOPBORD,Stop Bordetella,"BI, PATL",STOPBORD,Stop Bordetella,"BI, PATL"
STOPCRAB,Stop Canine Rabies,"BI, PATL",STOPCRAB,Stop Canine Rabies,"BI, PATL"
STOPFRAB,Stop Feline Rabies,"BI, PATL",STOPFRAB,Stop Feline Rabies,"BI, PATL"
STOPFIV,Stop FIV,"BI, PATL",STOPFIV,Stop FIV,"BI, PATL"
STOPLYME,Stop Lyme,"BI, PATL",STOPLYME,Stop Lyme,"BI, PATL"
IMASKTIE,Surgery Mask Tie,"HSI, BAYSE",IMASKTIE,Surgery Mask Tie,"HSI, BAYSE"
UOTH6S,Univ. of Tennessee Histopath (6 Sites),"IDEXX, IAL, HSI",UOTH6S,Univ. of Tennessee Histopath (6 Sites),"IDEXX, IAL, HSI"
IUCT,Urine Centrifuge Tubes,"IDEXX, IAL, HSI",IUCT,Urine Centrifuge Tubes,"IDEXX, IAL, HSI"
VITALS113,Urine Glucose,"IDEXX, IAL, HSI",VITALS113,Urine Glucose,"IDEXX, IAL, HSI"
VITALS604,Urine Ketones,"IDEXX, IAL, HSI",VITALS604,Urine Ketones,"IDEXX, IAL, HSI"
UOOSRG,Urine Off Odor/Stain Remover Gallon,"IDEXX, IAL, HSI",UOOSRG,Urine Off Odor/Stain Remover Gallon,"IDEXX, IAL, HSI"
IUOS,Urine Off Spray (500ml) 16.9oz Bottle,"IDEXX, IAL, HSI",IUOS,Urine Off Spray (500ml) 16.9oz Bottle,"IDEXX, IAL, HSI"
VITALS114,Urine Specific Gravity (USG),"IDEXX, IAL, HSI",VITALS114,Urine Specific Gravity (USG),"IDEXX, IAL, HSI"
IUO32,Urine-Off Odor & Stain Remover 32oz Bott,"IDEXX, IAL, HSI",IUO32,Urine-Off Odor & Stain Remover 32oz Bott,"IDEXX, IAL, HSI"
IUOSR,Urine-Off Refill (Client Brings Bottle),"IDEXX, IAL, HSI",IUOSR,Urine-Off Refill (Client Brings Bottle),"IDEXX, IAL, HSI"
1291,Vaccine Panel by SVN/HI—Canine Titer,"IDEXX, IAL, HSI, BI, PATL",1291,Vaccine Panel by SVN/HI—Canine Titer,"IDEXX, IAL, HSI, BI, PATL"
VARL2,VARL Allergy Panel 1&3 (40 aller/20 food,"IDEXX, IAL, HSI",VARL2,VARL Allergy Panel 1&3 (40 aller/20 food,"IDEXX, IAL, HSI"
VG+VEEEV,Vetera Gold + VEE Equine Vaccine,"BI, PATL",VG+VEEEV,Vetera Gold + VEE Equine Vaccine,"BI, PATL"
VGHV,Vetera Gold Horse Vaccine,"BI, PATL",VGHV,Vetera Gold Horse Vaccine,"BI, PATL"
VSIUS,VS Imagyst Urine Sediment Kit (40 Tests),"IDEXX, IAL, HSI",VSIUS,VS Imagyst Urine Sediment Kit (40 Tests),"IDEXX, IAL, HSI"
WITFELFI,Witness FELV/FIV Test,"BI, PATL",WITFELFI,Witness FELV/FIV Test,"BI, PATL"
