Name,Category,Secondary Category,Quantity,Ordering UoM,Last Count Date,Last Price,Total Cost
Dermatonin Melatonin Implant for Dogs: 12mg,Pharmaceuticals,Hormones and Analogs,1,order unit,03/23/2026 18:14:42,,
"Dermatonin Melatonine Implanter, 18mg",Pharmaceuticals,Hormones and Analogs,1,order unit,04/21/2026 20:11:43,39.02,39.02
"Dermatonin Melatonine Implanter, 8mg",Pharmaceuticals,Hormones and Analogs,2,order unit,04/06/2026 19:44:13,39.02,78.04
Dexamethasone Injection: 100ml (2mg/ml),Pharmaceuticals,Antiinflammatories,0.85,vial,11/08/2025 15:21:06,10.02,8.52
Dexium-SP (dexamethasone sodium phosphate) Injection: 100ml (4mg/ml),Pharmaceuticals,Antiinflammatories,0.85,bottle,10/31/2025 15:47:37,33.53,28.50
"Dextrose 50% Sterile Preservative Free Solution Injection, 500mL",Pharmaceuticals,Fluid Therapy/Electrolytes,0.8,bottle,11/14/2025 19:38:44,3.69,2.95
"Diazepam Tablets 5mg, 100 Count",,,0,bottle,04/21/2026 20:43:23,3.36,0.00
Digital Thermometer Probe Covers Pre-Lubricated,Diagnostics Exam,Thermometers Jars Probe Covers,0,box,01/29/2026 21:23:05,5.88,0.00
"Diphenhydramine Injection: 1ml (50mg/ml), 25 Count",Pharmaceuticals,Antihistamine,0.2,box,11/21/2025 19:32:56,31.12,6.22
"Diroban Injection: 2ml (25mg/ml), 5 Count",Parasiticides,Heartworm Parasiticides,0.6,package,11/21/2025 19:33:01,275.00,165.00
"Disposable Needles: 22g x 3/4"", 100 Count",Administration and Transfusion,Syringes and Needles,1,box,03/30/2026 15:32:08,3.85,3.85
"Disposable Surgical Drape Roll: Non-Sterile, 38"" x100 yds, 1 Each",Apparel and Drapes,Drapes,1.25,box,12/15/2025 19:15:54,98.57,123.21
Dolorex (butorphanol tartrate) : 50mL Vial  (10mg/ml),Pharmaceuticals,Analgesics,0.2,bottle,12/04/2025 17:13:01,171.81,34.36
DOUXO S3 PYO Wipes:B30,,,0,package,04/21/2026 20:33:45,13.50,0.00
"Doxycycline Hyclate Tablets: 100mg, 50 Count",Human Generics,HUM-Not Applicable,0.38,bottle,04/06/2026 20:52:35,4.15,1.58
Dri-I Schirmer Ophthalmic Test Strips:B100,,,1.7,box,03/10/2026 16:38:30,14.47,24.60
"EasOtic Otic Suspension for Dogs, 10mL",Pharmaceuticals,Otic Preparations,0,bottle,04/21/2026 19:56:26,20.17,0.00
Eaze-Off Aerosol Spray: 200ml,Facility Supplies,GEN-Not Applicable,1,bottle,01/05/2026 20:40:48,50.03,50.03
"Elastic Adhesive Bandage: Beige, 2"" x 5 yds, 6 Count",Wound Care and White Goods,Tape and Adhesive Bandage,0.5,box,03/23/2026 18:46:15,15.01,7.51
Elura Oral Solution: 15 mL Bottle x 1 Count,Pharmaceuticals,Behavior Modification Drugs,1,bottle,03/30/2026 15:10:43,31.24,31.24
"Enalapril Tablets: 5mg, 100 Count",Pharmaceuticals,Cardiovascular Drugs,0.7,bottle,04/06/2026 20:23:29,4.73,3.31
"Endosorb Tablets, Absorbent Anti-Diarrheal Demulcent, 500 Count",,,0.5,bottle,03/30/2026 15:32:36,72.93,36.47
Endotracheal Tube Aircare 4mm Clear Cuffed:EACH,,,3,tube,04/06/2026 19:48:28,1.97,5.91
"Enrofloxacin Flavor Tablets: 68mg, 50 Count",Pharmaceuticals,Antimicrobial Agents,0.96,bottle,04/21/2026 20:02:46,63.37,60.84
"Enrofloxacin Flavored Tablets: 136mg, 50 Count",Pharmaceuticals,Antimicrobial Agents,0.44,bottle,03/30/2026 15:28:25,114.53,50.39
"Entyce (Capromorelin Oral Solution) Appetite Stimulant for Dogs 30mg/mL, 10mL",Pharmaceuticals,Behavior Modification Drugs,1,bottle,04/21/2026 19:59:32,30.61,30.61
"Enulose (Lactulose Solution, USP), 10 g/15 mL 473 mL Each",,,0.2,bottle,04/21/2026 20:37:39,8.97,1.79
Epakitin: 60g,Nutraceuticals,Renal,3,bottle,03/30/2026 15:08:06,24.38,73.14
Epakitin:300GM,,,1,order unit,03/23/2026 18:13:29,84.01,84.01
Epinephrine Injection: 50Ml (1Mg/Ml),Pharmaceuticals,Hormones and Analogs,1,vial,11/08/2025 15:15:36,32.09,32.09
"Epi-Otic Advanced Ear Cleanser, 8oz",Pharmaceuticals,Otic Cleansers/Drying Agent,3,bottle,04/06/2026 20:20:55,13.79,41.37
Erythromycin 0.5% Ophthalmic Ointment: 3.5G,Pharmaceuticals,Ophth Preps and Treatments,3,tube,03/30/2026 15:28:32,14.83,44.49
"Ethicon Pds Sutures: Pds II, 2-0, Cp-2, 27"", 36 Count",Wound Closure,Synthetic Absorbable Suture,0.03,box,04/30/2026 16:51:26,410.58,12.32
"Ethicon Sutures: PDS II, 3-0, FS-2, 27"", 36 Count",Wound Closure,Synthetic Absorbable Suture,0.03,box,04/30/2026 16:50:55,422.62,12.68
Euthaphen Injection Solution: 100Ml,Pharmaceuticals,Euthanasia Agents,0.5,vial,03/10/2026 18:53:09,62.86,31.43
"Exam Gloves, Latex, Powder-Free, Advanced Aloe, Medium 100 Count Box",Supplies,Hospital Supplies,1,Pack,03/30/2026 14:59:35,8.48,8.48
E-Z SCRUB ULTRADEX SCRUB BRUSH 30 CT #371163,Facility Supplies,Antiseptics Scrubs Soap,0.5,each,04/21/2026 20:16:05,29.85,14.93
"Face Mask with Earloops, Light Blue",Apparel and Drapes,Masks,0.35,box,02/26/2026 20:50:07,8.99,3.15
Famotidine Injection: 20ml (10mg/ml),Pharmaceuticals,Gastric Ulcer Drugs,3.25,vial,01/15/2026 20:50:12,11.61,37.73
"Famotidine Tablets, USP, 10mg 60 Count Bottle",Pharmaceuticals,Gastric Ulcer Drugs,0.5,bottle,04/21/2026 19:56:35,4.76,2.38
