term_type,canonical_name,aliases,category,active,priority,confidence,metadata_json
medication,Bupivicaine ( Marcaine ) 0.5% 5mg/ml INJ,Bupivicaine ( Marcaine ) 0.5% 5mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Buprenorphine ( Simbadol ) 1.8mg/ml INJ,Buprenorphine ( Simbadol ) 1.8mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Buprenorphine ( Zorbium ) 2.6-6.6# Tube,Buprenorphine ( Zorbium ) 2.6-6.6# Tube,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Buprenorphine ( Zorbium ) 6.6-16.5# Tube,Buprenorphine ( Zorbium ) 6.6-16.5# Tube,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Buprenorphine 0.3mg/ml INJ,Buprenorphine 0.3mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Buprenorphine 0.6mg/ml INJ,Buprenorphine 0.6mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Butorphanol 10mg/ml INJ ( Torbugesic ),Butorphanol 10mg/ml INJ ( Torbugesic ),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Butterfly 19g,Butterfly 19g,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Butterfly 21g Blood Collection Set,Butterfly 21g Blood Collection Set,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,C.E.T. Oral Chew Feline (Fish 30ct),C.E.T. Oral Chew Feline (Fish 30ct),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Calcium Gluconate 23% INJ (230mg/mL),Calcium Gluconate 23% INJ (230mg/mL),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Calvenza Equine Vaccine,Calvenza Equine Vaccine,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Canine Influenza Vaccine H3N2,Canine Influenza Vaccine H3N2,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Canine Influenza Vaccine H3N8,Canine Influenza Vaccine H3N8,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Canine Influenza Vaccine H3N8 & H3N2 Bivalent Vaccine,Canine Influenza Vaccine H3N8 & H3N2 Bivalent Vaccine,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Canine/Feline Imrab 3yr Rabies (Single),Canine/Feline Imrab 3yr Rabies (Single),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Carboplatin 10mg/ml,Carboplatin 10mg/ml,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Catheter Injection cap,Catheter Injection cap,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Cefazolin Sodium 1gm INJ (100mg/mL),Cefazolin Sodium 1gm INJ (100mg/mL),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Ceftazidime Injection 1gm (100mg/mL),Ceftazidime Injection 1gm (100mg/mL),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Ceftiflex (Ceftiofur Sodium) Powder 1gm (50mg/mL),Ceftiflex (Ceftiofur Sodium) Powder 1gm (50mg/mL),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Cerenia ( Maropitant ) 10mg/ml INJ,Cerenia ( Maropitant ) 10mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CET Chews - Petite 30ct,CET Chews - Petite 30ct,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CET Veggident Fresh (30ct Chew LG),CET Veggident Fresh (30ct Chew LG),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CET Veggident Fresh Chew (30ct MED),CET Veggident Fresh Chew (30ct MED),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CET Veggiedent Fresh (30ct Chew XS),CET Veggiedent Fresh (30ct Chew XS),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Chlorhexidine Solution 2% Gallon,Chlorhexidine Solution 2% Gallon,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Ciliary Body - Chemical Ablation per Eye,Ciliary Body - Chemical Ablation per Eye,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Clean Face / Nose / Eye Area,Clean Face / Nose / Eye Area,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Clevor Opth. Sol. 30mg/ml 0.3ml Dropper,Clevor Opth. Sol. 30mg/ml 0.3ml Dropper,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Clothesline Fresh Fabric Spray,Clothesline Fresh Fabric Spray,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Convenia ( Cefovecin ) 80mg/ml INJ,Convenia ( Cefovecin ) 80mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Cosyntropin ( Cortrosyn ) 0.25mg/ml INJ,Cosyntropin ( Cortrosyn ) 0.25mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Buprenorphine (mg/kg/hr),CRI - Buprenorphine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Butorphanol (mg/kg/hr),CRI - Butorphanol (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Calcium Gluconate (mg/kg/hr),CRI - Calcium Gluconate (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Dexmedetomidine (mcg/kg/hr),CRI - Dexmedetomidine (mcg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Epinephrine (mcg/kg/min),CRI - Epinephrine (mcg/kg/min),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Fentanyl (mg/kg/hr),CRI - Fentanyl (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Fentanyl/Lidocaine/Ketamine (mg/kg/hr),CRI - Fentanyl/Lidocaine/Ketamine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Furosemide (mg/kg/hr),CRI - Furosemide (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Hydromorphone/Lidocaine/Ketamine (mg/kg/hr),CRI - Hydromorphone/Lidocaine/Ketamine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Insulin (U/kg/hr),CRI - Insulin (U/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Ketamine (mg/kg/hr),CRI - Ketamine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Lidocaine (mg/kg/hr),CRI - Lidocaine (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Methocarbamol (mg/kg/hr),CRI - Methocarbamol (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Metoclopramide (mg/kg/hr),CRI - Metoclopramide (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,CRI - Midazolam (mg/kg/hr),CRI - Midazolam (mg/kg/hr),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
